fips,total_workers,outdoor_workers,percentage
12111,402585,50023,0.12425450525975881
12113,198825,28603,0.14386017854897523
12115,861942,88506,0.10268208301718677
12117,996711,132518,0.1329552899486411
12119,164385,31635,0.19244456611004654
12121,55738,8864,0.15902974631310776
12123,31874,2556,0.0801907510823869
12125,16758,2724,0.16254923021840315
12127,872476,81696,0.09363695964129673
12129,29882,3983,0.13329094438123285
12131,141980,19517,0.13746302296098042
12133,29663,2943,0.09921450965849712
12999,1673433,10181,0.006083900580423596
13001,34762,3898,0.11213393935907025
13003,11411,217,0.019016738235036367
13005,18574,727,0.03914073435985787
13007,2179,388,0.1780633318035796
13009,77504,4855,0.06264192815854666
13011,22050,2638,0.11963718820861678
13013,103148,7358,0.07133439329894908
13015,203151,12356,0.060821753277118994
13017,27586,2216,0.08033060247951859
13019,18217,1617,0.08876324312455398
13021,405017,18744,0.04627953888355304
13023,13115,1235,0.09416698436904308
13025,12600,1221,0.09690476190476191
13027,16462,2548,0.15478070708297897
13029,46266,3778,0.08165823715039122
13031,129395,7512,0.05805479346188029
13033,63923,9575,0.14978959060119207
13035,36942,1282,0.034703048021222455
13037,5216,194,0.03719325153374233
13039,72647,2317,0.03189395295056919
13043,16574,1466,0.08845179196331604
13045,207047,14451,0.06979574685940873
13047,77275,3709,0.04799741184082821
13049,9768,368,0.03767403767403767
13051,791912,51621,0.06518527311115377
13053,11273,107,0.009491705845826311
13055,27182,1813,0.06669855051136782
13057,323690,29295,0.09050325929129723
13059,343543,11480,0.03341648643692347
13061,3181,661,0.2077962904746935
13063,590528,32077,0.05431918554242982
13065,11645,1192,0.10236152855302705
13067,1836711,171567,0.09340990498777434
13069,87276,8157,0.0934621201704936
13071,74346,8182,0.1100529954536895
13073,182590,14588,0.07989484637712908
13075,21965,1567,0.07134076940587299
13077,207686,11060,0.05325346917943434
13079,6411,354,0.055217594759007955
13081,41368,1091,0.026373041964803712
13083,19237,111,0.005770130477725217
13085,46730,2368,0.050674085170126254
13087,42697,1851,0.04335199194322786
13089,1488067,79971,0.05374153179930742
13091,24383,2202,0.09030882172005085
13093,17255,950,0.05505650536076499
13095,233580,12542,0.05369466563918144
13097,224095,12568,0.056083357504629734
13099,20766,1079,0.051959934508330925
13101,3123,1482,0.4745437079731028
13103,54468,4180,0.07674230740985533
13105,28538,1994,0.0698717499474385
13107,33392,1710,0.051209870627695254
13109,22701,1492,0.06572397691731642
13111,33056,1107,0.03348862536302033
13113,225866,18507,0.08193796321712873
13115,195676,7033,0.035942067499335636
13117,387345,36766,0.09491796718687474
13119,39142,1927,0.04923100505850493
13121,4434006,225318,0.05081589876062414
13123,35097,1919,0.05467703792346924
13125,2007,10,0.004982561036372696
13127,190444,11289,0.05927726785826805
13129,116759,5148,0.04409081955138362
13131,30307,4313,0.14231035734318803
13133,31967,4688,0.14665123408515032
13135,1792623,139158,0.07762814601843221
13137,69262,4650,0.06713638069937339
13139,452243,25497,0.056378982095908615
13141,7224,240,0.03322259136212625
13143,34672,2660,0.07671896631287495
13145,26005,2410,0.09267448567583157
13147,33807,2970,0.08785162836099032
13149,10313,1333,0.12925433918355475
13151,335420,13824,0.04121400035776042
13153,311377,8734,0.028049599039106934
13155,10271,1202,0.11702852692045565
13157,169775,7646,0.04503607716094831
13159,11614,1108,0.09540210091269158
13161,21149,2005,0.09480353681025108
13163,23799,2565,0.10777763771587041
13165,6871,558,0.08121088633386697
13167,7332,609,0.08306055646481178
13169,19996,3061,0.15308061612322466
13171,18727,1137,0.060714476424413945
13173,7029,918,0.13060179257362356
13175,92922,4600,0.04950388497879942
13177,34099,4258,0.12487169711721752
13179,95659,3289,0.03438254633646599
13181,6519,1489,0.2284092652247277
13183,5365,435,0.08108108108108109
13185,243923,16244,0.06659478605953519
13187,38886,2593,0.06668209638430284
13189,34115,2691,0.07888025795104793
13191,8517,630,0.07396970764353646
13193,13586,432,0.03179743853967319
13195,17593,2376,0.1350537145455579
13197,5683,77,0.0135491817701918
13199,22103,3113,0.1408406098719631
13201,8660,682,0.07875288683602771
13205,33087,1348,0.04074107655574697
13207,38507,7745,0.20113226166670994
13209,7555,752,0.09953673064195896
13211,38773,2381,0.06140871224821396
13213,40610,955,0.023516375277025364
13215,460442,21514,0.04672466890509554
13217,124841,9653,0.07732235403433167
13219,68731,3571,0.05195617697981988
13221,9092,2482,0.2729872415310163
13223,128873,12063,0.0936037804660402
13225,49045,5062,0.10321133652767867
13227,39524,2577,0.0652008905981176
13229,21163,3119,0.14737986107829704
13231,14973,2907,0.1941494690442797
13233,55749,2408,0.04319359988519973
13235,13563,1142,0.084199660841996607
13237,28960,3206,0.11070441988950276
13239,1666,34,0.02040816326530612
13241,26873,2042,0.07598705019908458
13243,9109,1263,0.1386540783840158
13245,515871,25681,0.04978182530128656
13247,164481,10014,0.06088241195031645
13249,5052,64,0.012668250197941409
13251,15463,1458,0.09428959451594128
13253,11585,1511,0.1304272766508416
13255,112243,4052,0.03610024678599111
13257,43575,1271,0.029168100975329892
13259,7157,449,0.06273578314936426
13261,52583,1676,0.031873419165890114
13263,3845,1633,0.4247074122236671
13265,1063,21,0.01975540921919097
13267,28663,5612,0.19579248508530162
13269,7910,996,0.1259165613147914
13271,12416,751,0.06048646907216495
13273,10259,686,0.06686811580076031
13275,100354,3409,0.0339697470952827
13277,104486,7448,0.07128227705147101
13279,59710,6161,0.10318204655836544
13281,16839,773,0.04590533879684067
13283,5216,445,0.0853144171779141
13285,194380,9147,0.04705731042288301
13287,9427,671,0.07117852975495916
13289,11305,52,0.004599734630694383
13291,35481,1973,0.0556072264028635
13293,33501,1660,0.04955075967881556
13295,67853,3136,0.04621755854567963
13297,118483,16025,0.13525147067511795
13299,76858,5979,0.07779281271956075
13301,7393,239,0.03232787772216962
13303,31403,3898,0.12412826799987263
13305,41265,6367,0.15429540773052222
13307,2519,220,0.08733624454148471
13309,5495,405,0.07370336669699727
13311,45317,5172,0.11412935542952976
13313,278185,8076,0.029031040494634865
13315,5460,460,0.08424908424908426
13317,13386,1247,0.0931570297325564
13319,17330,5409,0.31211771494518176
13321,15078,1599,0.10604854755272583
13999,760782,43699,0.05743958190388311
15001,343549,39798,0.1158437369923941
15003,2209999,227132,0.10277470713787654
15007,153730,9116,0.05929877057178169
15009,366060,35148,0.09601704638583838
15999,12279,56,0.004560631973287727
16001,1285118,132767,0.10331113563112493
16003,5038,721,0.14311234616911472
16005,173004,13686,0.0791079975029479
16007,8787,360,0.04096961420279959
16009,17233,720,0.041780305228340975
16011,76597,12409,0.1620037338276956
